ALBERGUE ALANGE;ALANGE;1;6;48
ALBERGUE MUNICIPAL EL HOSPITAL;TALARRUBIAS;1;3;16
ESTACION DE TREN;CAMPANARIO;5;15;20
EXTRENATURA ALOJAMIENTO;VILLAFRANCA DE LOS BARROS;2;3;10
HIGUERA SERENA;HIGUERA DE LA SERENA;1;18;92
ISLA DEL ZUJAR;CASTUERA;12;78;62
LA ALMAZARA;VILLAFRANCA DE LOS BARROS;8;36;30
LAS CABALLERAS;VILLAFRANCA DE LOS BARROS;1;1;12
LAS QUINIENTAS;BERLANGA;6;21;32
LA VEGA DEL MADRONAL;SAN VICENTE DE ALCANTARA;6;21;35
MIRAMOLIN;MONTEMOLIN;4;10;18
ALBERGUE TURISTICO CORNALVO;TRUJILLANOS;4;10;40
CAMPILLO ILUSION;CAMPILLO DE LLERENA;11;66;52
CONVENTO DE SAN FRANCISCO;ZAFRA;5;15;15
CORTIJO LOS COTOS;MONESTERIO;22;0;116
CRUCEROS ALQUEVA;CHELES;3;6;23
EL CARRASCALEJO;CARRASCALEJO (EL);3;6;24
PALACETE DE SANTIAGO;BARCARROTA;7;28;44
ROJO PLATA;TORREMEJIA;1;1;18
SAN ANDRES;ALJUCEN;1;4;10
SAN MATIAS;CASTILBLANCO;10;55;54
ZARZA CAPILLA;ZARZA-CAPILLA;15;0;40
ALAGAN NATURA;VALDEOBISPO;10;55;48
ALBERGUE MUNICIPAL DE LOGROSAN;LOGROSAN;5;15;34
ALBERGUE TURISTICO CASAR DE CACERES;CASAR DE CACERES;1;6;17
ALBERGUE TURISTICO DE GALISTEO;GALISTEO;1;1;8
ALBERJERTE;TORNO (EL);11;172;52
AURORA BOREAL;CASAS DEL MONTE;13;88;39
CABANAS EN LOS ARBOLES DE EXTREMADURA;VILLASBUENAS DE GATA;3;6;10
EL BURACO;SANTIAGO DE ALCANTARA;3;6;52
EL CIELO DE LA VERA;VILLANUEVA DE LA VERA;3;6;19
EL PERICUTO;ALISEDA;6;21;28
EL SOLITARIO;BANOS DE MONTEMAYOR;11;66;51
HOSTEL CANAVERAL;CANAVERAL;4;10;24
HOSTEL CASA VARGAS & FIGUEROA;CACERES;5;15;26
HOSTEL DIVINO MORALES;ARROYO DE LA LUZ;13;91;50
HOSTEL EL ENCUENTRO;VILLANUEVA DE LA VERA;7;28;19
HOSTEL EL LAGO CACERES;CUACOS DE YUSTE;21;254;92
LA ALDEA DE YUSTE;CUACOS DE YUSTE;52;0;190
LA ALEGRIA;PESCUEZA;1;1;16
LA CASA DE MI ABUELA;ALDEANUEVA DEL CAMINO;5;15;26
LA FONTANINA;MATA DE ALCANTARA;1;4;16
LA HIGUERA;GARROVILLAS DE ALCONTAR;8;36;24
LA JARILLA;PLASENZUELA;10;71;29
LAS CABANAS DE VILLANUEVA DE LA VERA;VILLANUEVA DE LA VERA;8;36;56
LAS VELETAS;CACERES;12;207;42
LOS TRES PICOS DE LA VERA;ALDEANUEVA DE LA VERA;7;21;53
QUINTO PINO;TALAYUELA;6;0;48
SAN BLAS;OLIVA DE PLASENCIA;4;10;15
SANTA ANA;PLASENCIA;7;28;40
SENORA ELENA;CARCABOSO;5;15;12
VALLE DEL AMBROZ;HERVAS;10;55;84
VIA DE LA PLATA;BANOS DE MONTEMAYOR;3;0;12
VIA DE LA PLATA;HERVAS;5;15;20
VIA DE LA PLATA DE SAN GIL;PLASENCIA;1;7;33
VIA DE LA PLATA - EMBALSE DE ALCANTARA;GARROVILLAS DE ALCONTAR;5;15;25
